0.841860253695095206438736568089 -0.896542108581156904634212878591 -0.288832131625302412913924854365 -0.663598358609674532360145349230 0.246172772608553636075612303102 -0.962963080590641506972815477639 0.557256563736978405287914029032 -0.115504615171541979989910942095 0.248924971259975258419672172749 0.162699018524652183614875866624 -0.024377994278408143813408059941 0.286045139704993234275320901361 -0.424462071524680961687181479647 -0.753824051444125675658369800658 -0.745937265615875366719933481363 -0.984979810717501402805851284938 -0.725573841961600018990452554135 -0.919264782069635799643947393633 -0.796200031714984435282644881227 0.488000144040412697776787354087 0.142150131618130837196645188669 -0.171059994285579719530687725637 0.033480710629942400657910184236 -0.535475918219212587700894800946 -0.702238967094869659391065397358 -0.685467555846142495568074082257 0.222080329063256032284812135913 -0.895688632329145972832407096575 -0.706064898519435768520224883105 0.907407701476603767432038694096  | 1.856128111879514763771226171230 1.022394735429279499783206119901 
0.864394287984007414493703436165 0.450302567486030813626030067098 0.122531618104638528876648706500 0.091363715859472449665190652013 -0.752736656173096818633894145023 -0.427909720590013531449358197278 0.505197289455045162043234086013 -0.089477651997845963904865129734 -0.491874531231750733439866962726 -0.003221047046702008032070807531 -0.691187910947176797904489831126 -0.838529564139271599287894787267 -0.096704784641173047177176158584 0.855726709553904063554341519193 -0.258979237027040287699719556258 -0.473356071527071486926274701545 0.939699957851762412985863193171 -0.068125752526285943133643741021 0.720757426799548905904657658539 -0.625427596082715586689459996705 -0.973072108767621291036675756914 0.454975623267966478024959542381 0.521540958617666694507875035924 0.097730061647545607428355651791 -0.766582060095840400748556930921 -0.019073726685795433510861585091 0.619804152515225137420884493622 -0.910861702436577713726251204207 -0.325917506801432832475029499619 -0.468160370045686669016049563652  | 2.424235771837927266858514485648 1.536008747078046798861805655179 
0.323367107867412184596389579383 -0.623630083939791246550043979369 -0.747853981693322733548257019720 -0.146113070528171018480634302250 -0.185848430139136544525513272674 -0.617250075653833718547502940055 -0.280188781078585025241522998840 0.505155185582914612041349755600 0.727418805911196120206341220182 -0.924679768569263815791714478109 0.342551910564685924143191186886 -0.640022208869184705548605052172 0.829227564367731151406815115479 0.461072252808033988813463111001 0.687174508350164359171685646288 0.307399047096753585961437238439 0.935750648982396793229554532445 0.979122290461117206206154151005 -0.935656906999029258642508466437 0.333606170839652937942787502834 0.602276176548030894863927642291 -0.984826929892568259106155892368 0.619852608281997063954804616515 0.375568071522290436448088257748 0.082054360233190459794627713563 0.073932651425822060176074046467 -0.129614400202038737575094273780 -0.762523213612356531854175045737 0.433111773966039725891619127651 -0.810659644936179812901855257223  | 1.249828086503152135833261127118 2.291617910093715959618521083030 
0.392693035266815093642378542427 0.405367162419239424053785114666 -0.219293337142946853646208182909 -0.078541278477438192240356329421 -0.033739821511862722047681018012 0.801492644729913106260710264905 0.074067650991095801416008725937 -0.605345543254129925259121591807 0.053846254622795353128594797454 0.219244881376174927112288060016 -0.996050691130634380243691339274 -0.047248042987403149339797892026 0.656414333798578164547166124976 0.040966233077631475367752500460 -0.575348285315652185900603399205 0.439802553160534737131115434750 0.901688350335669630553070419410 0.722161990125255170980267394043 0.159485288478337539075369022612 -0.889459326483756695935767311312 0.382327366127581669275059539359 -0.343973476402617439617870331858 -0.515257861865253019573174242396 0.746453559420683143699193351495 0.241367053315584945138994044100 0.595663253203155607096164203540 0.330687296784115458692099309701 0.887626750983691703567046715762 0.012658925130950349213776462420 0.308682273355070480036488334008  | 2.021438116562442210977224021917 2.151338841207166119318117125658 
0.162578381087772450008799296484 -0.548691069039880741087245041854 -0.491826075464978806905946839834 -0.928629077438629435548023138836 -0.610200046447910926517010921089 -0.296436542667762870095771177148 -0.211738668709900323960937384982 0.036420538123686174714066510205 -0.752628044810370377959429788461 0.405710696761083955408366819029 -0.786411341142858377750712861598 -0.424225140625362540092169183481 -0.095142195477366797717877489049 0.223065497323409633878554814146 -0.780051189579550774411131897068 0.359146546510049180511714439490 0.135110470147250083527978858911 0.629114512101607292748894906254 0.840687306917605514655633669463 0.478269398222666453079909842927 0.539698303013845803732806416519 -0.650149964596048235421221761499 -0.579547151164910623322157334769 -0.119341918291250292938343591231 -0.539770691641914712732841508114 -0.045941768540879834858969843481 -0.727467261677968046740261343075 -0.149912201038808756692333190585 -0.423539775063951795530670096923 0.097929187397675976356481442053  | 1.254419597573111389010591665283 2.086515714493661022288506501354 
0.142903159850498062688473055459 0.358233918622183900026811897987 -0.193525700566834268911975414085 0.813534184615090971703921240987 0.790360650012223997507021522324 -0.623022902362040609247628708545 -0.248443470724055037734956385975 0.817900735754221841489197686315 -0.795297095736101411489471502136 -0.919343993349514443380599004740 -0.233422119811580452974908439501 -0.906952521976352121768627512211 0.681215890255671085995459179685 -0.429157629497602499668573727831 0.032477330723629904696281300858 -0.764426325237706816295712997089 0.604084056425997273365169348835 0.286224251062597856432034859608 -0.712691178143535220002036112419 0.323130514881123653836425546615 -0.519400502177075784615567499714 0.311166526047643499097716812685 0.914729737733274372857295020367 0.022875953654074354659542223089 -0.033077156446639000009213305020 0.644834631526953527824730372231 -0.305360260080069778609868080821 -0.718989727450853433055044661160 -0.987177144085870317269382212544 0.952006928056292167639185208827  | 1.761322381872467257579728538985 2.268200369300506391567751052207 
0.485180297767938917274932464352 -0.168282366140212413796461987658 -0.833284051460855934578830783721 -0.360867183427335591616724741471 -0.879458819166506255982085349387 0.013114735205763228265141151496 0.223641914266962116286663331266 -0.347776873178987866452871458023 0.187471479696819320892586802074 0.123572871747755996807427436579 0.531026413721252810162809510075 -0.657109738960990563683139953355 0.553378485061140734657669781882 -0.844861116658457200756515703688 0.059098805190921588348373916233 0.038683509356308265481061425817 -0.494276888898184996179452355136 0.857782128054675352402114185679 0.493306464804724287276371796906 0.309223599932166637316299784288 0.577892998402101731869606737746 -0.430922473587955323637288529426 -0.436362630978081478261287884379 0.145922259341383808717296233226 0.315445724165118290827081182215 -0.473483715237603686176726114354 -0.360241649105978334333144630364 0.174401368042426563320645982458 0.669819469178730253489106871712 0.363862362432196162487230139959  | 2.491174671895602710236516941222 1.509898677030794278408620812115 
0.763957307504491422989190141379 0.165677608933209707942069144337 0.017231424567079267617941695789 -0.042916865097270440188026441319 0.235551466467166736862282050424 0.750157216984638441914512441144 0.526077006914128286751974883373 0.511743565311475911983052355936 0.993793821367321639215219875041 0.729850563660478179883739358047 0.746301928371321920963055163156 0.792917786257873569155663062702 -0.021914778075701857318335896707 0.745237516479021921966818808869 0.911521971410879539021721029712 -0.252470842974275022640995302936 -0.231192521608109435860001212859 0.707430229488956063832461040874 -0.559593441209035313832487190666 0.005076280632931862157875002595 0.520238371877503658069485936721 -0.388809196629583686544151532871 -0.351039506518066479756612352503 -0.575907686952690678339195073931 0.804682986602668126607795784366 0.814486209292708318585596316552 0.209632813636414505609195657598 0.403581350105497671520993208105 -0.629616036151144697896597790532 0.003833096098029731280121268355  | 2.161216007779285241952038632007 1.643211800639653219491265190300 
0.848782453676416914767344223947 0.140479561509536221564076186041 0.193677658329497681677366927033 0.393722308087277816923688078532 0.784724485349930889199754346919 -0.450027525218864132838803016057 -0.424706736863157408023994321411 -0.590098633137479122723334512557 0.147576833780042049326652886521 -0.708845647669416711877943271247 0.736915632709924439680548857723 -0.849648101434280711430346855195 0.052899906013759601108858987573 -0.695852680700765224841575218306 -0.942345373475401926199879198975 0.957886723041628362906863003445 0.914676875539985001495324468124 -0.278170053705925512943508692842 0.510762737562450164219285397849 -0.287969924530312004762322430906 0.430125537257607160057659712038 0.770820017936928891799652774353 0.299435505329874951385704662243 -0.639970733665833568792891128396 0.830349707656149016443691834866 -0.974801952576326513622007041704 0.823553766237581585940574768756 0.563360826815451742888285480149 0.450826981117235847662527703505 0.200184742203502574753315457201  | 3.230353362612469858561325963819 1.222774895530712946367657423252 
0.558087820025803704737654697965 -0.635833268468566137343600530585 0.702639469036738351093163146288 0.992934930950553740203190500324 0.595950029805602632393402018351 -0.259982119755886031953195924871 -0.326062097374936632476760678401 0.687582889954423848166698007844 0.953635248369251176114858026267 -0.167147718514260024136319771060 -0.953022467902183922916492520017 -0.803332508073494100386824356974 0.728376483321276690929835240240 0.574950743375324702100215290557 0.749418353940574766269833162369 0.311755298040541362070143804885 -0.711068772852232910963721224107 -0.406257394608839694782886908797 0.779484939178994640229802826070 0.990932443055126732645021547796 0.646271986820962762720910177450 0.952754368988261823858465504600 0.170199221645352727350086752267 0.569844720127138826271107063803 -0.418610732698773579940620948037 -0.223687170021897641092323283374 0.491038189292759330584203780745 0.400787377136724076720497578208 -0.811225544455671743193647671433 0.809954594537021899114392908814  | 3.046447507739450610841913658078 1.817848939720491108218425324594 
