0.780447640770247974550954950246 0.200488798607304841148391005845 0.444307941147617846411321806954 0.275601655880688412025847355835 0.072647087059601767045080578100 0.709029083382085589803978109558 0.469231366047022535603616688604 0.650712047091358769534963357728 0.449043286191096013837409373082 0.419477980625364232913909745548 0.230479605064548231929677513108 0.391240859733580359502980172692  | 1.396990898298729355531122564571 0.000000000000000000000000000000 0.000000000037643557991121118486 
0.182755942904351154076891816658 0.928861835743290842337671620044 0.140235503432267871737337827653 0.251455063935373646089033172757 0.307670882274633905595351279771 0.933831397488526948613696276880 0.289886938947653161058326531929 0.368206961529910281605282307282 0.412380875806064306487996873329 0.087168422018230384828996193392 0.974193742625257042000441742857 0.945895673104276801801404417347  | 2.079710833457411922609026078135 0.002038144183271590158257335901 0.000000000000000000000000000000 
0.365037817538709230547055994975 0.911039871098637599189373759145 0.889230147130955383971695482614 0.102584414944031920846612138121 0.458829276106246464195237422246 0.727427291544786025490054726106 0.922009493686557823899363484088 0.423354853829436050816070746805 0.828118380116512065036715739552 0.720757522806903638823428082105 0.115732668230043023172015637101 0.782481719467160719005960345385  | 1.930676787415770867539777100319 0.000272626367440950429909402031 0.000000000000000000000000000000 
0.751075454584175794536804460222 0.210665938476106262555731518660 0.280471006864535743474675655307 0.955510384030153980816635339579 0.132615633667733989753401147027 0.867662794977053897227392553759 0.120933926431491478581392584601 0.515205698077211615704129599180 0.910470373964828105783908540616 0.134985548555578538376664710086 0.567385745473841685004856572050 0.446382432110989268991829703737  | 1.978889353552225838228650900419 0.000000000000000000000000000000 0.000000000001150530987913043542 
0.489476724152333564354933059803 0.388252324574564600112580592395 0.792981629220539385727306580520 0.519229514231247746280928367923 0.231848331301714227770105480886 0.963764925696385832409873728466 0.357092786940811923734884203441 0.372370418490792776111675266293 0.723550418340714207587893724849 0.159868987650645388853831718734 0.290165367592441048039120232716 0.957953628797909795267173649336  | 1.829319008819594749581938231131 0.000000000000000000000000000000 0.000000000000000000000000000000 
0.258565427570916273047885169944 0.370241040226823026060287702421 0.493532902160942033020774033503 0.286862346957630243160508598521 0.362816810087494334702284959349 0.270306933302088880921587588091 0.667550244827139538372762217477 0.018391461778462736553763079428 0.005249954876689333360673117568 0.684069318461531961084176600707 0.861288450163644636603521576035 0.444354673336193384258763217076  | 1.789352351361632287307656952180 0.000000000000000000000000000000 0.000000000000000000000000000000 
0.901634614373088560945745939534 0.575225332309370895877975726762 0.893151361574816560207068505406 0.855320090716516157058890712506 0.010428816928871209590568014391 0.046263436032545346421329668374 0.007945030597897306812171791535 0.538669452607844823077698492853 0.165679728790241176383801757765 0.942715427293386531992780419387 0.168663908513805416156117189530 0.769473662746876230222881076770  | 2.460157242890638418231219475274 0.000000000000000000000003722915 0.000123066646327563779294081425 
0.663444066115641550851478314144 0.053113813602613024755783044384 0.334585477955570032015941706049 0.433895175849273395662919483584 0.752915858142548688469730677753 0.512174786165071838084372757294 0.083525209757036256164042242744 0.192274476697643526001968439232 0.275221051987846410114002537739 0.271441065568622019732458738872 0.271327183504089353149879570992 0.423308121640860512968629336683  | 1.524930380385245420882256439654 0.000000000000000000000000000000 0.000000000000000003629119779548 
0.219299312058402917635646645067 0.939980365767840719826153872418 0.017319012390011545576840035210 0.279665457839062381317773997580 0.556956928544970475414288557658 0.400118996078443922570500035363 0.481531693554436257542761268269 0.849582871966719777034882099542 0.627301900430298209343504822755 0.576514086937861214288147948537 0.063184422787908811613988291356 0.194291262949509602186992651696  | 1.723614733939219600955539135612 0.005551876485044912080957235645 0.000000000000000000000000000000 
0.303978973338198898979101159057 0.037784940535222744095733560243 0.289655242491440811924974241265 0.406953129508096700384101040981 0.777990581427369209954747475422 0.874428419040873539103131406591 0.066290950873272747045916730713 0.095019988238976615946285164682 0.222091836592320013288315294631 0.015535163453540890010629027529 0.939508688446633821733655622666 0.051007621243685963285940943024  | 2.329191559227765662143383451621 0.000000000000000000000000000000 0.000000000000000000000000000000 
