0.646480521336680102884031384747 0.670953356507268616759631640889 0.198712909261316017506260322989 0.794171869404736385789078667585 0.654450312427843683416028852662 0.203614025556992261911659625184 0.222567627784255317457962064509 0.523178449003575130049625840911 0.976304440072983448217769364419 0.708104230127956868479088825552 0.409413251467170113961913102685 0.276574304337365184380814753240  | 2.592710640094350704742964808247 4.274911063590316473437269451097 8.058430550400418113099476613570 
0.778817657562265730497585991543 0.156871622389052611801218972687 0.639896015592037570307581972884 0.426447462051890102685547390138 0.589030502692327484481893407064 0.315430475849778457764216454962 0.407471500465878322394530641759 0.336718330481449723556863773410 0.109631249939600605713962977461 0.717757410668086737182136403135 0.906443887042532092657154407789 0.955569940793709826643009819236  | 3.070902426621934022676896347548 0.961538076420978327085720138712 8.886293999967362466918530117255 
0.751712465884823766160138802661 0.754290167641125774977695073176 0.003217726846709956234349192528 0.986594535401148164943663232407 0.262020007501559071272367873462 0.990964936107519345220850937039 0.054006676553109866922852688731 0.432148042438240898022172586934 0.918612667430095508613874244475 0.931791785464080701828493147332 0.015648474322208949516266329738 0.553148608674730368761629506480  | 1.550544721573108519763195545238 3.412573401945278028790653479518 9.118526034081106956818985054269 
0.536612818287512727266630463419 0.343986445489326886360004209564 0.279792031184075140615163945768 0.145346538202957953345162422920 0.062969251587678076731435794500 0.630860951699556915528432909923 0.601414511375379712276867394394 0.569033536106506088181333780085 0.509213364130332468704409620841 0.881599043962571271570993758360 0.095314650650729748626588389016 0.443295817825994697969349545019  | 5.195259268388133122584804368671 3.306646055811066631235917157028 6.910744514750856382079291506670 
0.850094546893672364795691009931 0.829352320051737867956376248912 0.069742551933662966234805935528 0.232639059792967284323594867601 0.420866127199696182792365561909 0.672626639411534776868961671425 0.214332478898439204861858797813 0.752340689077173108145757396414 0.266921123797235315677767175657 0.778523395082527436272812337847 0.101301703753113314654399346182 0.667001207269479534645029161766  | 0.712172479720392215263302659878 2.137403127171149996854637720389 9.390261341538511885573825566098 
0.878581182294928431097957854945 0.243386417819499989434461895144 0.830957901870025494872606941499 0.645134978540278791747653031052 0.778552299767613198433480192762 0.675159792961985472103947358846 0.209784121455759642316252211458 0.647658258258720143096809351846 0.758296971629466298736588214524 0.331132811401160354058959001122 0.145734684866332786512543862045 0.465335928956106092968525445031  | 1.636640295884101314882741462498 0.740418137566728140619431997038 9.304001418944038093172821390908 
0.578119180414140454438154392847 0.266975778547786757322057837882 0.876992190146633321390368109860 0.296891283468390554389770841226 0.233817247630997315788192736363 0.991804593664303624223066435661 0.537379986986384561298280004848 0.001949478563952666831937676761 0.736296603049474640556582016870 0.208071140318620728670850894559 0.160718303748445756617968527280 0.323963728838039810575821775274  | 5.359457224820190823777465993771 2.635807797203979951916608115425 7.652961766031000756527191697387 
0.175425494258181435824894833786 0.188761624618740908587710691791 0.087654765560070013741267302976 0.286656806923801910080840116279 0.237096174554595751082786136976 0.877988815712744896657682147634 0.326828696831753084950378251961 0.696328187230606743263194857718 0.521495059554608841878575731243 0.814213726801797599286203421798 0.917234566721345290218891932454 0.165525022743450822559907464893  | 8.711323732949457721019825839903 3.153116948737364033661378925899 2.619519858273175128005050282809 
0.023295330961239257838713001547 0.302057757558719330859275942203 0.632221173983699147314041510981 0.584707760494180717181222917134 0.861497403019732432838395652652 0.451491224161691073746283109358 0.312714559907287803497411005083 0.827402841487785201124438572151 0.333445948884188325678223918658 0.024567919474346555652743973042 0.260147823451250426174397034629 0.348662910573494966293139896152  | 8.244634974878067623649258166552 4.583716520319746301481700356817 0.345334329334013423462579339684 
0.025570854279698296274148106022 0.664685923517103094404490093439 0.980264316873433405596927059378 0.541427220527931685190026200871 0.223312888040368417996717198548 0.340172510437726449694650909805 0.182252995064321687834762997227 0.721891358264891147555886163900 0.016744175068227895586403519701 0.727900411818933501528761098598 0.613027277024162375873572727869 0.651864462000746214265234357299  | 5.016049613817882502075917727780 8.111833211066434401459446235094 0.383292368683417317143380387279 
0.907726363897040311456976269255 0.015437084275020995782767840865 0.173589211135285581555365297390 0.469635408381427921220563348470 0.694243460704641712766260752687 0.152621369048818289471114439948 0.750716338926355253313715820696 0.933529829663598431643833919225 0.852424270672286765737624136818 0.036743460017140128215373806597 0.885154337057502349495052840211 0.203464740793078857628017885872  | 1.402297435908541389792958398175 0.143868680995494352403696325382 9.657395726948346137419321166817 
0.511809132706686265024131898826 0.337263555046849572427447583323 0.756032286176041234959654957493 0.666643919790689043480824693688 0.937405415708077338621251328732 0.983791218400313360881170865468 0.993172499193859747990131836559 0.466870266353849761031824527890 0.070910590491842118154863783275 0.558756395104868408552079017682 0.624068897530433375209213409107 0.226124353711998682392447790335  | 5.635074312720998790382509469055 3.505485278249917513448963291012 6.887343264199456527308029762935 
0.419102332934712773493401982705 0.680891102955585747480427016853 0.347905848419323260323210433853 0.344578318420369678065640073328 0.222991106016703577452631179767 0.012903653694632533088793024945 0.272578992034884004524997180852 0.368527927895120899215442022978 0.779796903311412381576417374163 0.547964300477040588965849110537 0.976343065962230083343342812441 0.248026483368612216118265223486  | 3.831395170075032385881286245422 6.524775423965078147148233256303 5.852127565542160070322097453754 
0.800905427200601538473279106256 0.490139286440935628696990988828 0.577413662708147090718568961165 0.357923999683657512171919279353 0.322742407743173087553145705897 0.364871692173181605411969030683 0.558700587925848535242323578132 0.593775333025260976249626310164 0.421507921768564997044848041696 0.917358322997498309980812791764 0.997188534328369735604269408213 0.921070177503013676201248927100  | 2.059916631747292115051095606759 2.003709575653081387258680479135 8.887304816091436521219293354079 
0.501361892108735940354335980373 0.373985509845567887232675730047 0.672165856647858217520763446373 0.504909305802229924076129918831 0.600123623329529842784779702924 0.379285469965862209740237176447 0.539198436001919412241534246277 0.235640180963608614206350466702 0.625624910658244992589516186854 0.493292342419197837877220536029 0.446216977336029496647995529202 0.351715941848216750997835333692  | 4.984172716218427723333661560901 3.486624390748451762789272834198 6.108721950931671251794341515051 
0.260577052485419624616724831867 0.356116166955451340925264958059 0.494500270988629253565704857465 0.714001052273967040662228100700 0.520282644884320744083083809528 0.408297387115713839023101172643 0.953108544780837729781808320695 0.743488222021588596177821273159 0.334524364407476237914806915796 0.749285596793190733500011901924 0.940216881379707603016981920518 0.062721040897299684679921938368  | 7.084811240280627586685113783460 4.680365127193701901830991118914 3.683609151404080073177738086088 
0.491810607085123807635795856186 0.092884756508281873799148797843 0.398744733843983900634100336902 0.053847089302638484475949098851 0.023945274200903532424433706183 0.846838883746136472652210613887 0.879903896932793361251867736428 0.445250921991977133274076550151 0.722280937761078267733694246999 0.851285976001171840188419537299 0.776774128680674080804635650566 0.661187711846415782090957691253  | 6.773635186631226545728168275673 1.457918904051127562127021519700 6.752749313134697395355487969937 
0.012001939549464379908272348985 0.012411760939669558290177064919 0.285296632322783128010712516698 0.833963248203073548303621009836 0.456060421077909339260259002913 0.839729096252898377095164050843 0.847796882419763808691470785561 0.746651064419347032519169715670 0.242889298300670852803762045369 0.608638402890466778671907377429 0.382525526363465484536163785378 0.302150651275881920732047092315  | 9.434238729628591002551729616243 0.949035463111348787101917423570 0.178778779634877510451573812134 
0.465815831417566661443174780288 0.195030599181277075615525973262 0.367660832465926512568898942845 0.893413048796594777556379085581 0.150349650582233262952058794326 0.041166280570220314949381190672 0.056110970116758807080259430222 0.651704572084489619498981483048 0.820879880646686377332343909075 0.728135177121555843271494268265 0.938935911483114060693822011672 0.367283530416397829831964827463  | 6.833852795880855701682321523549 2.535309780342308805245465919143 6.545415598530549772249287343584 
0.526786675062249853951357181359 0.950343548640825486195637950004 0.791661662455171444285895177018 0.037231921341288498616961533116 0.606487881083131119552831478359 0.503919059428452942306364548131 0.513925988066072592097555116197 0.113226868654780488121502912691 0.885861868098162474893797480036 0.331475525910501556126064315322 0.218131993608438823351036717213 0.104940640523472628053980315599  | 0.964938704408789815758495933551 6.208143785421738058971641294193 6.834956305848957747173244570149 
0.487292713363271068338633540407 0.548457622840311520562295299897 0.966863531941549725345907972951 0.855872547996595955943632816343 0.789867230797474340064923126192 0.021554760327079369730540747696 0.435699636968365000555536425964 0.441180184423792254300167314796 0.577864853197297523301756427827 0.325711912181082641204454830586 0.085009362717789471730611694511 0.479555353329738642820245786424  | 4.438272241517744021166436141357 5.086854649644331871627400687430 6.486614920409661699807202239754 
0.353117221870543507300510555069 0.494907373351151647078438600147 0.930619275305906823447799069982 0.814054054659883341571458004182 0.170286247597542961251804172207 0.157268652417962839784593143122 0.498075951483391787810717232787 0.899184892284889070168674152228 0.399434764224620653116915036662 0.502487722292571992177556694514 0.237928427469470515909222285700 0.734788455729425749041183735244  | 5.529439701586104760622220055666 5.451215446933032282572639815044 4.810665066835366765474191197427 
